"a";"Art";"एक"
"faint";"Adj";"अस्पष्ट"
"faint";"Adj";"धीमा"
"faint";"N";"मूर्छा"
"faint";"VI";"मूर्छितहोना"
"fair";"Adj";"गोरा"
"fair";"Adj";"काफी"
"fair";"Adj";"अच्छा"
"fair";"Adj";"न्याय संगत"
"fair";"Adj";"ठीक-ठाक"
"fair";"N";"मेला"
"fairly";"Adv";"न्याय पूर्वक"
"fairly";"Adv";"बहुत हद तक"
"fairy";"Adj";"अप्सराजैसी"
"fairy";"N";"अप्सरा"
"fairy-tale";"N";"परियों की कहानी"
"faith";"N";"विश्वास"
"faith";"N";"धर्म"
"faithful";"Adj";"वफादार"
"faithful";"Adj";"विश्वासभाजन"
"fake";"V";"जाली बनाना"
"fake";"V";"नकली बनाना"
"fake";"Adj";"जाली"
"fake";"N";"धोखे बाज"
"fakir";"N";"फकीर"
"falcon";"N";"बाज"
"falcon-eyed";"N";"तीव्रदृष्टिवाला"
"fall";"N";"पतन"
"falls";"N";"झरना"
"fall";"VI";"गिरना"
"fall";"VI";"होना"
"fall";"VI";"लालचमेंआना"
"fall";"VI";"पडना"
"fall apart";"PhrV";"टूटना"
"fall away";"PhrV";"गिर पडना"
"fall back";"PhrV";"पीछे होना"
"fall behind";"PhrV";"पीछे रह जाना"
"fall down";"PhrV";"नीचे गिरना"
"fall to";"PhrV";"हार जाना"
"fall in";"PhrV";"में हो जाना"
"fall in with";"PhrV";"सहमतहोना"
"fall into sth";"PhrV";"मेंफसना"
"fall off";"PhrV";"सेगिरना"
"fall off";"PhrV";"कमहोजाना"
"fall-out";"N";"झगडआ"
"fall over sb/sth";"PhrV";"परगिरना"
"fall through";"V";"असफल होना"
"fall to";"V";"शुरूकरना"
"The fallen";"N";"शहीदहुएलोगसैनिकइत्यादि"
"fall-back";"Adj";"पीछेहटना"
"falling star";"N";"उल्का"
"fall off";"N";"गिरावट"
"fall";"N";"पराजय"
"fallacious";"Adj";"भ्रममेंडालनेवाला"
"fallacy";"N";"भ्रम"
"fallen";"Adj";"पराजित"
"fall guy";"N";"बलीकाबकरा"
"fallible";"Adj";"अविश्वसनीय"
"fallibility";"N";"भ्रम"
"fallopian tube";"N";"डिम्बवाही नली"
"fallout";"N";"लडआई"
"fallow";"Adj";"कुछ लाल या पीला"
"fallow";"N";"परती भूमि"
"fallow";"VT";"जोतना"
"false";"Adj";"झूठा"
"falsehood";"N";"झूठ"
"falsify";"VT";"झूठ ठहराना"
"falsity";"N";"असत्यता"
"falter";"VI";"हिचकिचाना"
"falter";"VI";"हिम्मतहारना"
"faltering";"Adj";"लडखडआताहुआ"
"fame";"N";"प्रसिद्धि"
"fame";"N";"प्रतिष्ठा"
"famed";"Adj";"प्रसिद्ध"
"famed";"Adj";"प्रतिष्ठित"
"familial";"Adj";"परिवार से सम्बन्धित"
"familiar";"Adj";"जाना-माना"
"familiar";"Adj";"परिचित"
"familiarity";"N";"हेलमेल"
"familiarize";"VT";"परिचित होना"
"family";"N";"कुटुम्ब"
"famine";"N";"अकाल"
"famine-relief";"N";"अकालनिवारण"
"famous";"Adj";"प्रसिद्ध"
"famously";"Adv";"यशस्वीतौरपर"
"fan";"N";"पंखा"
"fan";"N";"चाहने वाला"
"fan";"VT";"पंखा करना"
"fan";"VT";"भडकाना"
"fan";"VT";"उत्तेजितकरना"
"fanatic";"N";"अतिउत्साही"
"fanatical";"Adj";"कट्टरता"
"fanaticism";"N";"कट्टरपन"
"fanaticism";"N";"हठधर्म"
"fancier";"N";"शौकीन"
"fanciful";"Adj";"मौजी"
"fancy";"Adj";"असामान्य"
"fancy";"Adj";"बढएचढए"
"fancy";"N";"कल्पना"
"fancy";"N";"छोटा सजा हुआ केक"
"fancy";"VT";"पसन्द करना"
"fancy";"VT";"इच्छाहोना"
"fancy";"VT";"सोचना"
"fanfare";"N";"तुरहीनाद"
"fanfare";"N";"धूमधाम"
"fang";"N";"दातविषैला"
"fantastic";"Adj";"अद्भुत"
"fantasy";"N";"कोरीकल्पना"
"fanzine";"N";"चाहने वालों के लिए पत्रिका"
"far";"Adj";"दूर"
"far";"Adv";"दूर"
"far";"Adv";"बहुत"
"far away";"Adj";"बहुतदूर"
"far away";"Adj";"कहींखोजाना"
"far fetched";"Adj";"अस्वाभाविक"
"far fetched";"Adj";"अतिशयोक्तिपूर्ण"
"far flung";"Adj";"दूरतकफैलाहुआ"
"far gone";"Adj";"बहुतआगेकीस्थिति"
"far off";"Adj";"बहूतदूर"
"far reaching";"Adj";"दूरतकप्रभावडआलनेवाला"
"far-sighted";"Adj";"दूरदृष्टि"
"farce";"N";"स्वाग"
"farcical";"Adj";"स्वागपूर्ण"
"fare";"N";"किराया"
"fare";"N";"खाना"
"fare";"VI";"आगेजाना"
"fare";"VI";"प्रगतिकरना"
"farewell";"N";"बिदाकाप्रणाम"
"farm";"N";"खेत"
"farm";"VT";"खेतीकरना"
"farming";"N";"खेती"
"farmland";"N";"खेत"
"farmhouse";"N";"फार्महाउस"
"farmstead";"N";"फार्म"
"farmstead";"N";"चक या चक का कोई भाग"
"farrago";"N";"किसीचीजकाअस्तव्यस्तसंग्रह"
"fart";"VI";"वायुनिकालना"
"farther";"Adj";"दूर"
"farther";"Adv";"औरदूर"
"farther-most";"Adv";"अतिदूर"
"farthest";"Adj";"अतिदूर"
"fascinate";"VT";"मोहलेना"
"fascination";"N";"मोह"
"fascism";"N";"सामवादविरोधीमत"
"fashion";"N";"कार्यप्रणाली"
"fashion";"N";"वेशभूषा की शैली"
"fashion";"VT";"विशेष प्रकार की आकृति प्रदान करना"
"fashionable";"Adj";"फैशनपरस्त"
"fast";"Adj";"तेज"
"fast";"Adj";"पक्का"
"fast";"N";"व्रत"
"fast";"VI";"व्रतरखना"
"fasten";"VT";"जकडना"
"fastidious";"Adj";"तुनुकमिजआज"
"fat";"Adj";"मोटा"
"fat";"N";"चर्बी"
"fatal";"Adj";"जीवघातक"
"fatality";"N";"भाग्यवशता"
"fate";"N";"भाग्य"
"fated";"Adj";"भाग्यमेंलिखाहुआ"
"father";"N";"पिता"
"father";"VT";"पिताबनना"
"fatherland";"N";"जन्मभूमि"
"fatherless";"Adj";"अनाथ"
"fatherly";"Adj";"पितातुल्य"
"fathom";"N";"गहराई"
"fathom";"VT";"थाहलेना"
"fatigue";"N";"थकावट"
"fatigue";"VT";"थकाना"
"fatten";"VT";"मोटा करना"
"fatty";"Adj";"चर्बीदार"
"fault";"N";"भूल"
"faulty";"Adj";"अशुद्ध"
"faun";"N";"ग्राम देवता"
"fauna";"N";"पशु"
"faux pas";"N";"सामाजिकगलती"
"favour";"N";"कृपा"
"favour";"VT";"कृपादृष्टिरखना"
"favoured";"Adj";"अनुग्रह प्राप्त करना"
"favourable";"Adj";"हितकारी"
"favourably";"Adv";"प्रशंसाकीदृष्टिसे"
"favourite";"Adj";"प्रिय"
"the favourite";"N";"सर्वप्रिय"
"favouritism";"N";"पक्षपात"
"fawn";"N";"हिरणीकाबच्चा"
"fawn";"N";"हल्कापीलारंग"
"fawn";"V";"चापलूसीकरना"
"fax";"V";"फैक्स करना"
"fax/fax machine";"N";"फैक्सयंत्र"
"fax Copy";"N";"फैक्स द्वारा प्राप्त किया गया पत्र"
"faze";"V";"क्षुब्धकरना"
"FBI";"Abbr:Federal Bureau of Investigation";"एफ.बी.आई.अमरीकाकीपुलिसकाएकविभाग"
"FCO";"Abbr:Foreig and Commonwealth Office";"विदेश एवं राष्ट्रमंडलविभाग"
"feality";"N";"प्रभुभक्ति"
"fear";"N";"भय"
"fear";"V";"भयकरना"
"In fear and trembling";"IDM";"अत्यंतभयभीतहोना"
"fear of something";"PhrV";"भयभीतहोना"
"In fear of one's life";"IDM";"अपनेजीवनकाभयहोना"
"No fear";"IDM";"हाकिसीप्रश्नकेउत्तरमें सकरात्मकउत्तर"
"Putting the fear of God into";"IDM";"अत्यंतभयभीतकरना"
"fearful";"Adj";"डरा हुआ"
"fearful";"Adj";"भयानक"
"fearfully";"Adv";"भयसहित"
"fearless";"Adj";"भयरहित"
"fearlessly";"Adv";"निर्भयतापूर्वक"
"fearlessness";"N";"निर्भयता"
"fearsome";"Adj";"घबरानेवाला"
"fearsome";"Adj";"बृहत्"
"fearsome";"Adj";"डरावना"
"fear";"V";"डर"
"never fear";"V";"मतडरो"
"fear for";"PhrV";"केलियेडरना"
"feasible";"Adj";"संभव"
"feasible";"Adj";"साध्य"
"feasibility";"N";"संभावना"
"feasibility";"N";"साध्यता"
"feast";"N";"भोज"
"feast";"N";"संतोष"
"feast";"N";"त्यैहार"
"feast";"V";"भोजनकरना"
"feast";"V";"आन्नदितकरन"
"feat";"N";"वीरताकाकाम"
"feather";"N";"पंख"
"feather";"N";"पर"
"Birds of a feather";"IDM";"एकसमान"
"A feather in one's cap";"IDM";"कठिन कार्य को करना"
"light as a feather";"IDM";"बहुत हल्का"
"Ruffle someone's feathers";"IDM";"उत्तेजितकरना"
"Knocking someone with a feather";"IDM";"किसी को भय भीत करना"
"To crop someone's feathers";"IDM";"किसी को विनीत बनाना"
"feathery";"Adj";"बहुतहल्का"
"featherbed";"V";"आसानबनाना"
"featherbed";"N";"पंखों सेभरागद्दा"
"featherboa";"N";"अंगोछास्त्रियों द्वाराकंधों परडालनेकाकपडा"
"featherbrained";"Adj";"बेवकूफ"
"feather";"V";"परों सेढकना"
"Feather one's own nest";"IDM";"अपनाघरभरना"
"featherweight";"N";"कमवजनकामुक्केबाज"
"feature";"N";"नक्श"
"features";"N";"आकृति"
"feature";"N";"विशेषगुण"
"feature";"N";"सिनेमाकीफिल्म"
"feature";"V";"प्रकटकरना"
"feature";"V";"हिस्सालेना"
"featureless";"Adj";"आकृतिहीन"
"featureless";"Adj";"अरोचक"
"feb";"Abbr:february";"फरवरी"
"febrile";"Adj";"उत्तेजितहोना"
"february";"N";"फरवरीमाह"
"fecal";"N";"मल"
"feces";"N";"मल"
"feckless";"Adj";"शक्तिहीन"
"feckless";"Adj";"उदासीन"
"fecklessness";"N";"लापरवाह"
"fecund";"Adj";"फलप्रद"
"fecund";"Adj";"उपजाऊ"
"fecundity";"N";"उपजाऊपन"
"federal";"Adj";"राज्यसंबंधी"
"federal";"Adj";"संघी"
"federalism";"N";"संघका अनुमोदन करना"
"federalists";"N";"संघवादीसंघकाअनुमोदनकरनेवालेव्यक्ति"
"federally";"Adj";"संघद्वारा"
"federate";"V";"संघबनाना"
"federation";"N";"कईराज्यों यासंस्थाओं कासंघ"
"fed up";"Adj";"दुखी"
"fed up";"Adj";"खिन्न"
"fee";"N";"शुल्क"
"feeble";"Adj";"दुर्बल"
"feeble";"Adj";"क्षीण"
"feebleness";"N";"दुर्बलता"
"feebly";"Adv";"दुर्बलतासे"
"feeble minded";"Adj";"र्मूख"
"feed";"V";"खाना खिलाना"
"feed";"V";"देना"
"feed";"V";"डालना"
"feed";"V";"पनपना"
"Bite the hand that feeds";"IDM";"विश्वासघातकरना"
"feeding bottle";"N";"बच्चों को दूध पिलाने की बोतल"
"feed";"N";"खाना"
"feed";"N";"मालमशीन में इस्तेमाल कि येजाने वाला"
"feed";"N";"पाईप जिस से मशीन को तेल आदि देते हैं"
"feedback";"N";"जान कारी देना"
"feedbag";"N";"खाने काथैला"
"feeder";"N";"भोजन कराने वाला"
"feeder";"N";"मुख्यधारासेमिलनेवाली"
"feeder";"N";"मशीन में सामानपहुंचानेवाली"
"feel";"V";"महसूसकरना"
"feel";"V";"स्पर्शसेअनुभवकरना"
"feel";"V";"टटोलना"
"feelingly";"Adv";"भावनासहित"
"feel";"N";"अनुभव"
"feeler";"N";"महसूसकरनेवालाकीडेमकौडों केशरीरकाभाग"
"feeler";"N";"किसीबातकापताकरना"
"feeling";"N";"बोध"
"feeling";"N";"चेतना"
"feet";"N";"पैरब."
"feet";"N";"फुटब."
"feign";"V";"बहाना करना"
"feint";"N";"बनावटी आक्रमण"
"feisty";"Adj";"अधिक शक्ति शाली"
"feldspar";"N";"एक प्रकार का खनिज"
"feliciation";"N";"अभिनन्दन करना"
"felicitous";"Adj";"परम सुखी"
"felicitously";"Adv";"आनन्दसे"
"felicity";"N";"उत्तम प्रकारसे"
"feline";"Adj";"बिल्ली के समान"
"fell";"N";"उत्तरी इंगलैंड का पहाडई इलाका"
"fell";"Adj";"गिराना"
"fellatio";"N";"मुह से लिंग को उत्तेजित करना"
"fellow";"N";"व्यक्ति"
"fellow";"N";"सभासद"
"fellow";"N";"सहचर"
"fellow feeling";"N";"सहानुभूति"
"fellowship";"N";"साहर्चय"
"fellowship";"N";"सदस्यता"
"fellowship";"N";"अनुदान"
"felony";"N";"आपराधिककार्य"
"felt";"N";"नमदा"
"felt";"N";"फैल्टकपडआ"
"felt tipped pen";"N";"नमदेसेबनीनोकवालेकलम"
"fem";"Abbr:female/feminine";"स्त्री"
"female";"N";"स्त्रीजाति"
"female";"Adj";"स्त्री सबंधी"
"female";"Adj";"स्त्री"
"feminine";"Adj";"स्त्रैण"
"feminity";"N";"स्त्री-प्रकृति"
"feminism";"N";"नारीवाद"
"feminist";"N";"नारी वादी स्त्री के अधिकारों के पक्ष का व्यक्ति"
"femme fatale";"N";"सुंदरपरखतरनाकस्त्री"
"femur";"N";"जाघकीहड्डी"
"femoral";"Adj";"जंघासंबंधी"
"fen";"N";"दलदल"
"fence";"N";"बाढ"
"fence";"N";"बाडआ"
"Come down on one side of the fence or other";"IDM";"साथदेनायान देना"
"Mend fences";"IDM";"अपनेमतभेदों कोदूरकरना"
"Sit on the fence";"IDM";"दूरीबनायेरखना"
"Sit on the fence";"IDM";"तटस्थरहना"
"fenced in";"IDM";"बंधनमेंहोना"
"fencing";"N";"बाढ"
"fencing";"N";"बाडआ"
"fence";"V";"तलवार याग दाकीलडआई"
"fence";"V";"घुमा-फिरा के बात करना"
"fencing";"N";"तलवार से लडआई करना"
"fend";"V";"रोकना"
"fend";"V";"दूर रखना"
"fend";"V";"देखभालकरना"
"fender";"N";"आघातसेबचावकासाधन"
"fenland";"N";"दलदल"
"fennel";"N";"सोयाजातिकाएकपौधा"
"fenal";"Adj";"पाशविक"
"fenal";"Adj";"जंगली"
"ferment";"V";"खमीर उठाना"
"ferment";"V";"उत्तेजित करना"
"fermentation";"N";"उफानलाना"
"fern";"N";"सुंदर बारी कपत्तियों वाला एक पौधा"
"ferny";"Adj";"फर्न को उगाने का स्थान"
"ferocious";"Adj";"खूखार"
"ferociously";"Adv";"खूखाररूपसे"
"ferocity";"N";"खूखारपना"
"ferret";"N";"नेवलेकीजातिकाजानवर"
"ferret";"V";"खोजना"
"ferris wheel";"N";"बडआऊंचाझूला"
"ferrous";"Adj";"लौहसम्बंधी"
"ferrule";"N";"लोहेकीमुंदरी"
"ferry";"N";"बडईनाव"
"ferry";"N";"घाट"
"ferry";"V";"एक स्थान से दूसरे स्थान पहुचाना"
"ferryboat";"N";"नदी पार उतरने की बडईनाव"
"ferryman";"N";"मल्लाह"
"fertile";"Adj";"उर्वर"
"fertility";"N";"उपजाऊपन"
"fertilize";"V";"उपजाऊबनाना"
"fertilise";"V";"उपजाऊबनाना"
"fertilization";"N";"उपजाऊबनानेकीविधि"
"fertilisation";"N";"उपजाऊबनानेकीविधि"
"fertilizer";"N";"खाद"
"fertiliser";"N";"खाद"
"fervent";"Adj";"उत्सुकताभरी"
"fervid";"Adj";"व्यग्र"
"fervently";"Adv";"उत्सुकतासे"
"fervour";"N";"चाव"
"fervour";"N";"उत्साह"
"fester";"V";"सडनाघाव"
"fester";"V";"कडउवाहटहोना"
"festival";"N";"त्यौहार"
"festival";"N";"उत्सव"
"festive";"Adj";"उत्सवसंबंधी"
"festive";"Adj";"परसत्र"
"festivity";"Adj";"उत्सवकासमय"
"festoon";"N";"तोरण"
"feta";"N";"भेड के दूध से बना पनीर"
"fetta";"N";"भेड के दूध से बना पनीर"
"fetch";"V";"जाकरलाना"
"fetch";"V";"मूल्यप्राप्ति"
"fetch and carry";"IDM";"काम करवाना"
"fetching";"Adj";"आर्कषक"
"fete";"N";"उत्सव"
"fete";"N";"त्यौहार"
"fete";"V";"सत्कार करना"
"fetid";"Adj";"बदबूदार"
"fetish";"N";"आवश्यकता से अधिक ध्यान देना"
"fetish";"N";"वस्तु जिसे देवता माना जाए यह मानना कि इसमें किसी आत्मा का निवास है"
"fetishism";"N";"जादू टोने में विश्वास रखना"
"fetishist";"N";"जादूटोनेमें विश्वासकरनेवाला"
"fetlock";"N";"घोडए के खुरोंका पिछला हिस्सा"
"fetter";"N";"बेडई"
"fetter";"N";"बंधन"
"fetter";"V";"बंधनबाधना"
"fettle";"N";"योग्यता"
"feud";"N";"कलहलंबेसमयसेचलनेवाली"
"feud";"V";"सांघातिकविरोध"
"feudal";"Adj";"जागीरदारी"
"feudalism";"N";"जागीरदारीप्रथा"
"fever";"N";"बुखार"
"fever";"N";"उत्तेजना"
"fevered";"Adj";"बुखारसेग्रस्त"
"fevered";"Adj";"अतिउत्तेजितहोना"
"feverish";"Adj";"हल्काबुखारहोना"
"feverish";"Adj";"अधिकउत्तेजनाहोना"
"feverishly";"Adv";"उत्तेजितअवस्थामें"
"fever pitch";"N";"उत्तेजनाकेचरम"
"few";"Det";"कुछ"
"few";"Adj";"कुछ"
"few";"Adj";"थोडआ"
"few and far between";"IDM";"बहुत अन्तर से"
"fewer";"Pron";"से कम"
"the few";"Pron";"कुछ"
"a few";"Det";"कुछ"
"a few";"Adv";"कुछ"
"fey";"Adj";"र्मूखता भरा"
"fez";"N";"तुर्कीटोपी"
"ff";"Abbr:and the following";"और आगे के"
"fiance";"N";"मंगेतर"
"fiasco";"N";"असफलता"
"fiat";"N";"आधिकारिकआज्ञा"
"fib";"N";"झूठबोलना"
"fibber";"N";"झूठबोलनेवाला"
"fibre";"N";"तन्तु"
"fibre";"N";"खानेकारेशेवालाभाग"
"fibre";"N";"चरित्रबल"
"fibrous";"Adj";"रेशेदार"
"fibre optics";"N";"फाइबर ऑप्टिक्स संदेश पहुंचा ने का एक साधन"
"fibreglass";"N";"फाइबरग्लासकाचकेरेशों सेबनाहुआसामान"
"fickle";"Adj";"चंचल"
"fickle";"Adj";"अस्थिर"
"fickleness";"N";"चंचलता/चपलता"
"fiction";"N";"कल्पना"
"fiction";"N";"कथा"
"fictional";"Adj";"काल्पनिक"
"fictionalize";"V";"कहानीबनाना"
"fictitious";"Adj";"काल्पनिक"
"fictitious";"Adj";"झूठा"
"fiddle";"N";"वायलिननामकबाजा"
"be on the fiddle";"IDM";"बेईमानीकरना"
"fit as a fiddle";"IDM";"अच्छीसेहतवाला"
"play second fiddle";"IDM";"महत्वहीनहोना"
"fiddle around";"PhrV";"व्यर्थकीबातकरना"
"fiddle around";"PhrV";"निरर्थककामकरना"
"fiddler";"N";"सारंगी बजाने वाला"
"fiddling";"Adj";"नगण्य"
"fiddly";"Adj";"बेकार"
"fidelity";"N";"स्वामी भक्ति"
"fidelity";"N";"ईमानदारी"
"fidget";"V";"चुलबुलाना"
"fidget";"N";"ऎसा व्यक्ति जो सीधे सेन बैठ सके"
"fidgety";"Adj";"अधीर"
"fidgety";"Adj";"बेचैन"
"field";"N";"मैदान"
"field";"N";"खेत"
"field";"N";"विशेषअध्ययन"
"Hold the field(against sb/sth)";"IDM";"क्षेत्रपरमजबूतपकड"
"Play the field";"IDM";"सब के साथ संबंध"
"take the field";"IDM";"खेल के मैदान में उतरना"
"field day";"N";"आनंददिवस"
"field day";"N";"क्रीडआदिवस"
"field events";"N";"खेल के मैदान में होने वाली प्रतिस्पर्धायें"
"field glasses";"N";"दूरबीन"
"Field Marshal";"N";"फील्डमार्शलसेनाकासर्वोच्चओहदा"
"field of vision";"N";"आखसेदिखाईदेनेवालाक्षेत्र"
"field sports";"N";"घरकेबाहरखेलेजानेवालेखेल"
"field test";"V";"नये उत्पाद के इस्तेमाल की जगह जाच करना"
"field test";"N";"फील्डजाच"
"field trip";"N";"अध्ययनयात्रा"
"field";"V";"क्षेत्ररक्षणकरना"
"field";"V";"क्षेत्र में उतार नाराज नीति के संदर्भ में"
"fieldsman";"N";"क्षेत्ररक्षकक्रिकेटकेखेलकेसंदर्भमें"
"fieldwork";"N";"किसी अध्ययन से संबंधित काम"
"fiend";"N";"पिशाच"
"fiendish";"Adj";"पैशाचिक"
"fiendishly";"Adv";"नीचताकीहदकरना"
"fierce";"Adj";"प्रचंड"
"fierce";"Adj";"बर्बर"
"fierce";"Adj";"उग्र"
"fiercely";"Adv";"प्रचंडरूपसे"
"fiercely";"Adv";"बर्बरतासे"
"fierceness";"N";"बर्बरता"
"fiery";"Adj";"अग्निमय"
"fiery";"Adj";"जोशीला"
"fiesta";"N";"धार्मिकत्यौहार"
"fife";"N";"बासुरीएकप्रकारकी"
"fifteen";"N";"पन्द्रह"
"fifteen";"Pron";"पन्द्रह"
"fifteen";"Det";"पन्द्रह"
"fifteenth";"Adj";"पन्द्रहवा"
"fifth";"N/Pron";"पाचवा"
"fifthly";"Adv";"पाचवेंस्थानपर"
"fifth column";"N";"जासूस"
"fifty";"N";"पचास"
"fifty";"Pron";"पचास"
"In one's fifties";"IDM";"आयुकापाचवादशक"
"fifteeth";"N";"पचासवा"
"fifteeth";"Pron";"पचासवा"
"fifty cents";"N";"फिफ्टीसेन्ट्सअमीकीमुद्राकाआधाभाग"
"fifty-fifty";"Adv";"आधा-आधा"
"fifty-fifty";"Adj";"आधा-आधा"
"fifty pence";"N";"फिफ्टीपैंसइगलैंडकीमुद्राकाआधाभाग"
"fig";"N";"अंजीर"
"not care\give a fig";"IDM";"परवाहनकरना"
"fig leaf";"N";"अंजीरकापत्ता"
"fight";"V";"लडाईकरना"
"fight like a tiger";"IDM";"तीव्रतासेलडाईकरना"
"to fight against";"IDM";"विषमपरिस्थितिमेंजूझना"
"A fighting chance";"IDM";"कार्यकीसफलताकीथोडईआशा"
"fighter";"N";"योद्धा"
"fighter";"N";"आसनी से हारन मानने वाला"
"fighter";"N";"लडआकूहवाईजहाज"
"fight";"N";"लडआई"
"fight";"N";"लडनेकीक्षमता"
"a fight to the finish";"IDM";"निर्णायकलडआई"
"pick up a fight";"IDM";"झगडआकरना"
"figment";"N";"भाग"
"figment of one's imagination";"IDM";"किसीकाल्पनिकवस्तुकेविषयमें सोचना"
"figurative";"Adj";"आलंकारिक"
"figuratively";"Adv";"आलंकारिकतरहसे"
"figure";"N";"अंक"
"figures";"N";"अंक"
"figures";"N";"संख्या"
"figure";"N";"आकृतिशारीरिक"
"figure";"N";"व्यक्ति"
"figure";"N";"आकृतिरेखाचित्र"
"to become a figure of fun";"IDM";"व्यंगकापात्रबनना"
"facts and figures";"IDM";"तथ्योंपरआधारित"
"in round figures";"IDM";"पूर्णअंकों में"
"cut a figure";"IDM";"स्वयंकोदिखाना"
"put a figure on";"IDM";"मूल्यआकना"
"single figures";"IDM";"दससेकम"
"figure of eight";"N";"आठकाअंक"
"figure of speech";"IDM";"नाटकीयढंगसेबातकहना"
"figure";"V";"दिखाईदेना"
"figure";"V";"कल्पनाकरना"
"figured";"Adj";"अलंकृत"
"it figures";"IDM";"इससेलगताहै"
"figure on";"PhrV";"अनुमानकरना"
"figure out";"PhrV";"समाधानहोना"
"figurehead";"N";"जहाज के अगले भाग पर लगाने वाली मूर्ति"
"figurehead";"N";"शक्ति हीन अधिकारी"
"figurine";"N";"एक छोटी मूर्ति"
"filament";"N";"तंतु"
"filament";"N";"रेशा"
"filch";"V";"चोरी करना"
"file";"N";"फाइलकागज संभालकररखनेकीजिल्द"
"file";"N";"कम्पयूटरमें सूचनारखनेकातरीका"
"on file/on the files";"IDM";"सूचनारखना"
"file";"V";"सूचना दर्ज करना"
"file away";"PhrV";"सूचना संभालना"
"filing cabinet";"N";"फाइलेंरखनेकीअलमारी"
"filing clerk/file clerk (US)";"N";"फाइलेंरखनेवालाकंर्मचारी"
"file";"N";"पंक्ति"
"in a single file";"IDM";"एकपंक्तिबद्ध"
"file in";"PhrV";"पंक्ति में अंदर आना"
"file out";"PhrV";"पंक्ति में बाहर जाना"
"file off";"PhrV";"बंद दायर"
"file past";"PhrV";"फ़ाइल अतीत"
"file";"N";"रेती"
"file";"V";"घिसना"
"file down";"PhrV";"घिसडालना"
"filings";"N";"चूरा"
"filings";"N";"बुरादा"
"filial";"Adj";"बेटा संबंधी"
"filibuster";"N";"कार्य में विलम्ब करवाना"
"filibuster";"Adj";"कार्य में विलम्ब करवाने संबंधी"
"filigree";"N";"महीन जाली का काम"
"fill";"V";"भरना"
"fill/fit the bill";"IDM";"योग्य होना"
"fill the shoes";"IDM";"दूसरे के स्थान पर का मक रसक ने की योग्यता"
"fill in on";"PhrV";"जानकारी देना"
"fill in";"PhrV";"पूरा करना"
"fill up";"PhrV";"भराहु आहोना"
"filler";"N";"वस्तुकोभर देना"
"filler cap";"N";"पेट्रोल की टंकी पर लगाने वाला ढक्कन"
"filler station";"N";"पेट्रोल बेचने की जगह"
"fill";"N";"संतुष्टि"
"fillet";"N";"मासकाटुकडआ"
"filling";"N";"भरावन"
"fillip";"N";"प्रोत्साहन"
"filly";"N";"बछेडई"
"film";"N";"सिनेमा"
"film";"N";"कैमरेकीरील"
"film";"N";"झिल्ली"
"filmy";"Adj";"बहुत महीन"
"film maker";"N";"फिल्म निर्माता"
"film star";"N";"फिल्म कला कार"
"film over";"PhrV";"झिल्लीसेढकना"
"filofax";"N";"डायरी"
"filter";"N";"छलनी"
"filter";"V";"छाना हुआ"
"filtered";"Adj";"छना हुआ"
"filter in/out/through";"PhrV";"छाननि कालना"
"filter tipped";"Adj";"नोंकपरछलनीवालीवस्तु"
"filth";"N";"कूडआ"
"filthy";"Adj";"गंदा"
"filthy";"Adj";"घिनआनेकीसीमातक"
"filthy";"Adv";"मलिन"
"filteration";"N";"छानन"
"fin";"N";"पंख मछली का"
"final";"Adj";"अंतिम"
"final";"N";"अंतिमचरण"
"finalist";"N";"अंतिमदौरमेंपहुचनेवाले"
"finally";"Adv";"आखिरकार"
"finale";"N";"अंत"
"finality";"N";"अंतिमस्थिति"
"finalize";"V";"अंतिमनिर्णयलेना"
"finalise";"V";"अंतिमनिर्णयलेना"
"finance";"N";"आर्थिकव्यवस्था"
"finance";"V";"आर्थिकप्रबन्ध"
"finance company";"N";"पैसोंकालेनदेनकरनेवालीकंपनी"
"finance house";"N";"पैसोंकालेनदेनकरनेवालीसंस्था"
"financial";"Adj";"आर्थिक"
"financially";"Adv";"आर्थिकरूपसे"
"financial year";"N";"आर्थिकवर्ष"
"financier";"N";"कोषप्रबन्धक"
"finch";"N";"एकतरहकीछोटीचिडइया"
"find";"V";"पाना"
"find";"V";"अनुभवकरना"
"find";"V";"मिलना"
"all found";"IDM";"सबमिलाकर"
"be found wanting";"IDM";"अभाव होना"
"find fault";"IDM";"गलती निकालना"
"find one's feet";"IDM";"विश्वस्तहोना"
"find it in one's heart to do";"IDM";"इच्छानरहना"
"find one's match";"IDM";"अपनाप्रतिद्वंदीपाना"
"find one's voice/tongue";"IDM";"अचंभेसेनिकलना"
"finds one's way to";"IDM";"रास्तातलाशना"
"take as one finds them";"IDM";"स्वीकारकरना"
"find for/against";"PhrV";"फैसलाकरना"
"find out";"PhrV";"पताकरना"
"finder";"N";"ढूढनेवाला"
"finding";"N";"जाचपरिणाम"
"find";"N";"खोज"
"fine";"Adj";"बढिया"
"fine";"Adj";"अच्छा"
"fine";"Adj";"बारीक"
"fine";"Adj";"सुन्दर"
"fine";"Adj";"संतोष जनक"
"fine";"Adj";"शुद्ध"
"fine";"Adj";"महीन"
"fine";"Adj";"पतला"
"the finer points of";"IDM";"बारी किया"
"to get down to a fine art";"IDM";"किसी काम को अच्छी तरह करना"
"not to put too fine a point to it";"IDM";"साफ कहेंतो"
"finely";"Adv";"सुन्दरतासे"
